"Date";"Order ID";"Transaction ID";"Payout report ID";"Payout number";"Position";"Currency";"Payout amount";"Open receivable";"Commission type";"Commission paid to";"Payout on";"Purchase vendor";"Purchase affiliate";"Product ID";"Product name";"Reason";"Voucher";"Sales team";"Commission allocated to";"Purchase created by";"Reseller";
"05/03/2026";"5MDTWJ62";"116208410";"";"";"";"USD";"2.82";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"evolute";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"ZUEDKJLF";"116208323";"";"";"";"USD";"4.82";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"fialhoca";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"9XUHVJR2";"116208145";"";"";"";"USD";"1.81";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"CEPHREXE";"116206102";"";"";"";"USD";"1.80";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"NHE674YD";"116202808";"";"";"";"USD";"2.81";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"GRUPOJKG";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"TCP6HWQK1";"116202177";"";"";"";"USD";"21.32";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"UNYXGROUP";"667691";"UP1 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"X2DJA5ME1";"116202139";"";"";"";"USD";"13.16";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"adsmkt9";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"X2DJA5ME";"116201989";"";"";"";"USD";"1.48";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"adsmkt9";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"TCP6HWQK";"116201974";"";"";"";"USD";"3.81";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"UNYXGROUP";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"UCZNWQXR1";"116201353";"";"";"";"USD";"13.12";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
